id,type,district,lon,lat,level
N_0,junction,สาทร,100.54473,13.71784,-1
N_1,junction,สาทร,100.54548,13.71408,-1
N_10,junction,หนองจอก,100.86065,13.77029,-1
N_100,junction,บางซื่อ,100.52776,13.81075,-1
N_1000,junction,หนองจอก,100.89767,13.77924,-1
N_1001,junction,หนองจอก,100.89696,13.7796,-1
N_1002,junction,จอมทอง,100.46067,13.69402,-1
N_1003,junction,ทวีวัฒนา,100.39348,13.75376,-1
N_1004,junction,ทวีวัฒนา,100.39295,13.75384,-1
N_1005,junction,ภาษีเจริญ,100.43206,13.70317,-1
N_1006,junction,ภาษีเจริญ,100.43362,13.70564,-1
N_1007,junction,ตลิ่งชัน,100.43961,13.76616,-1
N_1008,junction,ตลิ่งชัน,100.44122,13.7656,-1
N_1009,junction,ราษฎร์บูรณะ,100.49847,13.68732,-1
N_101,junction,บางคอแหลม,100.50773,13.70702,-1
N_1010,junction,ราษฎร์บูรณะ,100.48493,13.67217,-1
N_1011,junction,วัฒนา,100.58921,13.7425,-1
N_1012,junction,วัฒนา,100.58296,13.73132,-1
N_1013,junction,ภาษีเจริญ,100.43264,13.73015,-1
N_1014,junction,ภาษีเจริญ,100.43211,13.73342,-1
N_1015,junction,ราษฎร์บูรณะ,100.48895,13.68476,-1
N_1016,junction,ราษฎร์บูรณะ,100.49171,13.69155,-1
N_1017,junction,บางแค,100.41438,13.73877,-1
N_1018,junction,หลักสี่,100.56331,13.85511,-1
N_1019,junction,ภาษีเจริญ,100.41587,13.73826,-1
N_102,junction,บางคอแหลม,100.50499,13.70917,-1
N_1020,junction,ภาษีเจริญ,100.42436,13.74048,-1
N_1021,junction,ตลิ่งชัน,100.40674,13.76004,-1
N_1022,junction,ตลิ่งชัน,100.45682,13.76006,-1
N_1023,junction,สวนหลวง,100.63704,13.70673,-1
N_1024,junction,สวนหลวง,100.63748,13.7046,-1
N_1025,junction,หนองจอก,100.83573,13.86499,-1
N_1026,junction,หนองจอก,100.83739,13.87739,-1
N_1027,junction,บางแค,100.4179,13.73121,-1
N_1028,junction,บางแค,100.41807,13.73012,-1
N_1029,junction,จอมทอง,100.48006,13.66926,-1
N_103,junction,ภาษีเจริญ,100.43208,13.72264,-1
N_1030,junction,ภาษีเจริญ,100.46469,13.72227,-1
N_1031,junction,ภาษีเจริญ,100.46479,13.72265,-1
N_1032,junction,หนองแขม,100.33745,13.73607,-1
N_1033,junction,หนองจอก,100.84604,13.77697,-1
