responsibility_hash_sha256,entity_type,entity_id,entity_name_th,source_layer,spatial_hash_geohash7,district_code,district_name_th,agency_id,agency_name_th,responsibility_role,responsible_unit_th,assignment_method,confidence,evidence_text,source_path,nearest_asset_id,nearest_asset_distance_m,legal_basis_id,verification_status,is_official_legal_assignment,requires_human_approval
24953f49010a6b40a847e727031933aa1bbeba7cac703f6702ac9b349a0a3472,drainage_asset,canals:4414,คลองเสาธง,canals,w4rkuyn,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,asset_owner_candidate,,generic_district_owner,0.78,owner=สำนักงานเขต,data/geojson/canals.geojson,,,,candidate_unverified,False,True
dc79aeac1c464c6600bbeb9618a8e4aafd6bd24a7df141abf345c007da413cfd,drainage_asset,canals:4414,คลองเสาธง,canals,w4rkuyn,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,data/geojson/canals.geojson,,,,candidate_unverified,False,True
2789eb024e0a568e0503a2461a4aac77b2b18d277ff777f9e54f2c843d029e30,drainage_asset,canals:3749,คลองประมง (คลองโล่ง),canals,w4rkv7d,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,asset_owner_candidate,,generic_district_owner,0.78,owner=สำนักงานเขต,data/geojson/canals.geojson,,,,candidate_unverified,False,True
1d95d3a5cccc687a3332a0d90b360a91934707c068baf46f9b03c1471e566fa9,drainage_asset,canals:3749,คลองประมง (คลองโล่ง),canals,w4rkv7d,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,data/geojson/canals.geojson,,,,candidate_unverified,False,True
bc08586825125ed182d5ae8d3ed8848ede92ca2c77937d5f0078e7583f7f5783,drainage_asset,canals:4303,คลองศรีกุมาร,canals,w4rkvhu,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,asset_owner_candidate,,generic_district_owner,0.78,owner=สำนักงานเขต,data/geojson/canals.geojson,,,,candidate_unverified,False,True
4de07d01abf5e9f85b2d8fd2a3505d76b6d911f35be40eefa2a927469e5223ee,drainage_asset,canals:4303,คลองศรีกุมาร,canals,w4rkvhu,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,data/geojson/canals.geojson,,,,candidate_unverified,False,True
cd3606daef729aff6384b91c03d6bc50a5b55d2b38d050312d388fe217585a50,drainage_asset,canals:5482,ไม่มีชื่อ,canals,w4rkvn9,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,data/geojson/canals.geojson,,,,candidate_unverified,False,True
170b69f24087f63da0e7e172766839066b6a3c14b888061a60b2b6214b8f0db1,monitoring_location,water_level_station:77,จุดวัดคลองพิทยาลงกรณ์ ช่วงโรงเรียนพิทยาลงกรณ์พิทยาคม,water_level_station,w4rkvnf,1021,บางขุนเทียน,bma-dds,สำนักการระบายน้ำ,data_custodian,,official_source_owner,0.9,Bangkok DDS water-level source,water-data/water_latest_geojson.json,,,,candidate_unverified,False,True
fc14c42fe015b7a0de4314bd0c9bbb3cd34a14fcbc4f291250f7ab7c15f158e5,monitoring_location,water_level_station:77,จุดวัดคลองพิทยาลงกรณ์ ช่วงโรงเรียนพิทยาลงกรณ์พิทยาคม,water_level_station,w4rkvnf,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,water-data/water_latest_geojson.json,,,,candidate_unverified,False,True
2184066f10008ea1b044d0da9a8fe25b98df469cdb361e87b36cb7abacd240f9,flood_signal,official_risk_point:407,ถนนบางขุนเทียน - ชายทะเล บริเวณจากคลองสนามชัยถึงสามแยกคลองพิทยาลงกรณ์,official_risk_point,w4rkvnv,1021,บางขุนเทียน,bma-district-1021,สำนักงานเขตบางขุนเทียน,geographic_jurisdiction_candidate,ฝ่ายโยธา,district_field_or_spatial_join,0.82,district=บางขุนเทียน,data/geojson/expo473.geojson,,,,candidate_unverified,False,True
