process_stage_fact_key,district_key,district_agency_key,district_process_hash_sha256,stage_sequence,stage_code,action_th,owner_role_th,manual_document_duration_days,timing_is_emergency_response_sla,verification_status
195e0330f5b7d431155efcd0ed02b350e0cd6097b648bb1cd261a35a78ccfb7b,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
30a27149ff6c3fb9d4919e01105dd0c97307ca26136ac262659355d2a94c2119,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
25e7335a21d5531449e5eea8dc86cac60b5cd8e9337f3a2ccd1301598d5bd52a,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
09245630ea4a23dc6abcedeae515fba8ea9e694c1b52f7eaf6703fb34d1aa352,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
8b492ffad939d9aaf1e75a697804108c39510edc5be53c7d1d97ee6ea79c8d53,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,5,operate_coordinate_report,ดำเนินการแก้ไข ประสาน DDS/หน่วยสนับสนุน และรายงานผล,สำนักงานเขตและหน่วยงานที่เกี่ยวข้อง,3,0,pending_district_confirmation
c6cef46a5fec5f06b4a27b3ab54e2538a04b2deaca0d6c831b920e04c931c1fb,1001,bma-district-1001,e5a02ef36b7e8c81b34d8cc4b27c888271b772adcce0d0454cd59e2a14f81701,6,damage_recovery_close,สำรวจความเสียหาย ช่วยเหลือ ฟื้นฟู และสรุปรายงาน,ศูนย์บัญชาการเหตุการณ์สำนักงานเขต,,0,pending_district_confirmation
ad8871f79f759110f23e0ab70db8bf3d57775de7f98244d466d812218c45558f,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,1,monitor_receive_report,ติดตามฝน จุดเสี่ยง รับแจ้งเหตุ และรายงานสถานการณ์,เจ้าหน้าที่สำนักงานเขต,,0,pending_district_confirmation
95dbe143802e0d011e372617d4eca0a976964e246cbe4609e1a2e8381ef91fad,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,2,district_command,ผู้อำนวยการเขตสั่งการ และจัดตั้งศูนย์บัญชาการเมื่อเข้าเงื่อนไขสาธารณภัย,ผู้อำนวยการเขต,,0,pending_district_confirmation
8cea95f901736848dca85a6c5dd332471f25fd950b61dc235c75d9d2186efa92,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,3,public_works_inspection,ฝ่ายโยธาสำรวจและตรวจสอบพื้นที่,ฝ่ายโยธา/กลุ่มงานระบายน้ำ,2,0,pending_district_confirmation
7bbe48eae1e75f38f2bedd7e133f40ffc8ba7dd735a073f6fc5575c68b91272c,1002,bma-district-1002,0cbb7e34b1f55725cedb68b63c68377fd2c1990a85efdec2a3a20a815732b8d6,4,resource_preparation,เตรียมกำลัง วัสดุ อุปกรณ์ และเครื่องสูบน้ำ,ฝ่ายโยธาและหน่วยสนับสนุน,2,0,pending_district_confirmation
