id,name_th,name_en,river_name,latitude,longitude,timestamp,wl_in,wl_out,warning_in,critical_in,pump_count_total,pump_count_active,gate_count_total,status
10,ค.บางพรม-ถ.กาญจนาฯ,Bang Phrom Canal-Kanchanaphisek Rd.,คลองบางพรม,13.76264,100.39624,2026-06-22 21:05:00,0.28,-99,0.6,0.7,0,0,0,Normal
100,ค.ทวีวัฒนา-ภาษีฯ,Thawi Watthana Canal-Phasi,คลองทวีวัฒนา,13.69163,100.38106,2026-06-22 21:05:00,0.16,-99,0.6,0.7,0,0,0,Normal
102,ส.คลองแจงร้อน,Chaeng Ron Canal,คลองแจงร้อน,13.67634,100.52111,2026-06-22 21:05:00,-0.55,0.44,0.6,0.7,3,0,1,Normal
104,ส.คลองเลนเปน,Len Pen Canal,คลองเลนเปน,13.60695,100.41311,2026-06-22 21:05:00,-1.0,0.17,0.4,0.5,3,0,1,Normal
105,ส.คลองระหาญ,Rahan Canal,คลองระหาญ,13.60384,100.3946,2026-06-22 21:05:00,-0.52,0.19,0.4,0.5,3,0,1,Normal
106,ส.คลองพระยาราชมนตรี,Phraya Ratchamontri Canal,คลองพระยาราชมนตรี,13.62817,100.43914,2026-06-22 21:05:00,-0.98,0.13,0.4,0.5,10,0,2,Normal
107,ส.คลองบางไส้ไก่,Bang Sai Kai Canal,คลองบางไส้ไก่,13.70682,100.49744,2026-06-22 21:05:00,-0.23,0.37,0.7,0.8,3,0,2,Normal
108,ปตร.ขุนศรีฯ-ค.มหาสวัสดิ์,Khun Si-Maha Sawat Canal,คลองขุนศรีบุรีรักษ์,13.80251,100.37078,2026-06-22 21:05:00,0.43,0.68,1.8,2.0,0,0,1,Normal
109,ค.บางกอกใหญ่-ค.มอญ,Bangkok Yai Canal-Mon Canal,คลองบางเชือกหนัง,13.74358,100.45955,2026-06-22 21:05:00,0.01,-99,0.6,0.7,0,0,0,Normal
11,ค.บางพรม-ถ.พุทธฯสาย 3,Bang Phrom Canal-Phuttha Sai 3 Rd.,คลองบางพรม,13.76866,100.36401,2026-06-22 21:05:00,0.35,-99,0.6,1.0,0,0,0,Normal
110,ค.ทวีฯ-บางเชือกหนัง,Thavi Canal-Bang Chueak Nang,คลองทวีวัฒนา,13.75063,100.3534,2026-06-22 21:05:00,0.47,-99,0.8,0.9,0,0,0,Normal
113,ส.คลองสนามชัย,Sanam Chai Canal,คลองสนามชัย,13.63806,100.44765,2026-06-22 21:05:00,-0.35,0.2,0.4,0.5,15,0,3,Normal
114,ค.สอง,Song Canal,คลองสอง,13.89974,100.61087,2026-06-22 21:05:00,0.05,-99,0.8,1.0,0,0,0,Normal
118,ค.เปรมประชากร-ค.บางตลาด,Prem Prachakon Canal-Bang Talat Canal,คลองเปรมประชากร,13.87546,100.57424,2026-06-22 20:50:00,0.09,-99,1.0,1.2,0,0,0,Normal
119,ค.เปรมฯ-ถ.สรงประภา,Prem Canal-Song Prapa Rd.,คลองเปรมประชากร,13.92316,100.60051,2026-06-22 21:05:00,0.07,-99,1.0,1.2,0,0,0,Normal
12,ค.เปรมฯ ถ.พระราม 5,"Prem Canal, Rama 5 Rd.",คลองบางซื่อ,13.79815,100.53226,2026-06-22 21:05:00,-0.9,-99,1.0,1.2,0,0,0,Normal
123,ค.บางตลาด-ท่าทราย,Bang Talat Canal-Tha Sai,คลองบางตลาด,13.87579,100.55819,2026-06-22 21:05:00,-0.61,-99,0.7,0.8,0,0,0,Normal
124,ค.พระยาสุเรนทร์  คู้บอน,"Phraya Suren Canal, Khu Bon",คลองพระยาสุเรนทร์,13.85077,100.67829,2026-06-22 21:05:00,-0.02,-99,1.05,1.15,0,0,0,Normal
125,ค.พระยาสุเรนทร์  ถ.จตุโชติ,"Phraya Suren Canal, Chatuchak Rd.",คลองพระยาสุเรนทร์,13.87621,100.68614,2026-06-22 21:05:00,0.48,-99,1.0,1.2,0,0,0,Normal
13,ค.บางซื่อ-พหลฯ,Bang Sue Canal-Phahon,คลองบางซื่อ,13.79619,100.55035,2026-06-22 21:05:00,-1.03,-99,0.4,0.5,0,0,0,Normal
130,ค.สองต้นนุ่น ซ.ร่มกล้า 20,"Song Ton Nun Canal, Soi Rom Kla 20",คลองสองต้นนุ่น,13.7771,100.73883,2026-06-22 21:05:00,-0.09,-99,0.4,0.6,0,0,0,Normal
131,ค.สองต้นนุ่น ถ.มอเตอร์เวย์,"Song Ton Nun Canal, Motorway Rd.",คลองสองต้นนุ่น,13.72975,100.73899,2026-06-22 21:05:00,-0.09,-99,0.3,0.4,0,0,0,Normal
